# Header data
_bpDBSCAN_Topas3.7
# Target model
Fiber
# Bounding volume
1	0.08	0.08	0.08
# DNA Density
1.20586e+07
# O2 concentration
 
# Incident particle
2212
# Mean Energy (MeV)
1
# Distribution function
Gaussian	1.000000	0.000000
# Event count
592
# File event grouping
Exposure
#
# Line-by-line hit data listing
1	-0.0117952	0.00572683	0.0404371	1 1 0	0	     	 	2 1 1/4 5 1/	 
0	-0.00792015	-0.00495191	0.0303847	0 1 0	0	     	 	1 1 1/	 
0	-0.00863356	-0.00517975	0.0298647	0 1 0	0	     	 	4 1 1/	 
0	-0.0089108	-0.00501672	0.0300568	0 1 0	0	     	 	4 1 1/	 
0	-0.00878811	-0.00487877	0.0286086	0 1 0	0	     	 	4 1 1/	 
0	-0.00931677	-0.00465517	0.0292721	1 0 0	0	     	 	2 1 1/	 
0	-0.0102636	-0.00440063	0.0291549	0 1 0	0	     	 	4 1 1/	 
0	-0.0107175	-0.00448505	0.0291634	0 1 0	0	     	 	4 1 1/	 
0	-0.0108988	-0.00485623	0.0295356	0 1 0	0	     	 	4 1 1/	 
0	-0.00993381	-0.00523664	0.0293728	1 0 0	0	     	 	2 1 1/	 
0	-0.00846081	-0.00518701	0.0297433	0 1 0	0	     	 	4 1 1/	 
0	-0.00848698	-0.00521544	0.0296178	0 1 0	0	     	 	4 1 1/	 
0	-0.00743509	-0.00220148	0.0233914	0 1 0	0	     	 	4 1 1/	 
0	-0.00740986	-0.00237894	0.0230908	0 1 0	0	     	 	4 1 1/	 
0	-0.00729498	-0.00243911	0.0227671	0 1 0	0	     	 	4 1 1/	 
0	-0.00730402	-0.00242461	0.0227044	0 1 0	0	     	 	4 1 1/	 
0	-0.00680735	-0.00302156	0.0207845	1 0 0	0	     	 	2 1 1/	 
0	-0.00679829	-0.00302002	0.0207765	1 0 0	0	     	 	2 1 1/	 
0	-0.00671525	-0.00523227	0.0231196	0 1 0	0	     	 	1 1 1/	 
0	-0.00692364	-0.00549827	0.0233199	0 1 0	0	     	 	1 1 1/	 
0	-0.00769919	-0.00646001	0.0243079	1 0 0	0	     	 	2 1 1/	 
0	-0.00808504	-0.00750576	0.0246961	0 1 0	0	     	 	4 1 1/	 
0	-0.00860114	-0.00750943	0.0248328	0 1 0	0	     	 	4 1 1/	 
0	-0.010088	-0.00681841	0.025642	0 1 0	0	     	 	4 1 1/	 
0	-0.0100628	-0.00679826	0.0256979	0 1 0	0	     	 	4 1 1/	 
0	-0.00791019	-0.00321841	0.0204081	0 1 0	0	     	 	4 1 1/	 
0	-0.00729452	-0.00373447	0.0203401	0 1 0	0	     	 	4 1 1/	 
0	-0.00756485	-0.00304771	0.0200019	1 0 0	0	     	 	3 1 1/	 
0	-0.00756577	-0.00303505	0.020014	1 0 0	0	     	 	3 1 1/	 
0	-0.00740674	-0.0020622	0.0195683	0 1 0	0	     	 	1 1 1/	 
0	-0.00740327	-0.00202746	0.019588	0 1 0	0	     	 	1 1 1/	 
0	-0.00619616	-0.00572094	0.0173136	0 1 0	0	     	 	1 1 1/	 
0	-0.00568036	-0.00500281	0.00648913	0 1 0	0	     	 	4 1 1/	 
0	-0.004895	-0.00642739	0.00640387	0 1 0	0	     	 	1 1 1/	 
0	-0.00594786	-0.00548168	0.00687338	0 1 0	0	     	 	4 1 1/	 
0	-0.00585937	-0.00550915	0.00684033	0 1 0	0	     	 	4 1 1/	 
0	-0.00585813	-0.00550946	0.00684347	0 1 0	0	     	 	4 1 1/	 
0	-0.00585813	-0.00550946	0.00684347	0 1 0	0	     	 	4 1 1/	 
0	-0.00608649	-0.0069674	0.00741755	0 1 0	0	     	 	1 1 1/	 
0	-0.00568005	-0.00500355	0.00648889	0 1 0	0	     	 	4 1 1/	 
0	-0.0074612	-0.00387635	-0.00773048	0 1 0	0	     	 	1 1 1/	 
0	-0.00755421	-0.00386436	-0.00773157	0 1 0	0	     	 	1 1 1/	 
0	-0.00755421	-0.00386436	-0.00773157	0 1 0	0	     	 	1 1 1/	 
0	-0.00698311	-0.00409797	-0.0176833	0 1 0	0	     	 	4 1 1/	 
0	-0.00676415	-0.00642027	-0.0187422	0 1 0	0	     	 	4 1 1/	 
0	-0.00625797	-0.00546955	-0.0160512	0 1 0	0	     	 	1 1 1/	 
0	-0.00618593	-0.00547829	-0.015978	0 1 0	0	     	 	1 1 1/	 
0	-0.0128692	-0.00666974	-0.0338163	0 1 0	0	     	 	1 1 1/	 
0	-0.00818241	-0.00391059	-0.0217087	0 1 0	0	     	 	4 1 1/	 
0	-0.00886959	-0.00593608	-0.0245974	0 1 0	0	     	 	4 1 1/	 
0	-0.00731713	-0.00330523	-0.0265866	0 1 0	0	     	 	1 1 1/	 
0	-0.00771928	-0.00287232	-0.0266404	1 0 0	0	     	 	2 1 1/	 
0	-0.00824985	-0.00262566	-0.0267853	1 0 0	0	     	 	3 1 1/	 
0	-0.00803417	-0.00292063	-0.0274508	1 0 0	0	     	 	3 1 1/	 
0	-0.00808971	-0.00284427	-0.0274452	1 0 0	0	     	 	3 1 1/	 
0	-0.009403	-0.00552892	-0.0339785	0 1 0	0	     	 	1 1 1/	 
0	-0.00960334	-0.00578499	-0.033802	0 1 0	0	     	 	1 1 1/	 
0	-0.00740767	-0.00434961	-0.0311159	0 1 0	0	     	 	4 1 1/	 
0	-0.00765805	-0.00340984	-0.0310269	1 0 0	0	     	 	3 1 1/	 
0	-0.00766838	-0.00332914	-0.0310889	1 0 0	0	     	 	3 1 1/	 
0	-0.00827736	-0.00410686	-0.0313108	0 1 0	0	     	 	4 1 1/	 
